recent_reviews,all_reviews
89,92
49,49
54,71
57,61
54,74
87,92
91,91
83,85
NaN,44
80,83
82,84
63,78
51,51
40,75
94,94
71,77
49,44
82,88
62,84
95,97
NaN,70
65,90
66,63
98,97
91,92
68,74
76,81
46,60
91,91
92,96
93,87
77,81
91,91
62,68
72,86
88,87
64,NaN
NaN,100
94,95
76,80
93,93
97,94
92,82
50,52
NaN,94
NaN,80
60,72
72,87
82,85
77,77
71,79
64,80
NaN,98
66,NaN
85,84
77,75
69,71
57,83
75,64
66,69
86,93
80,86
78,89
99,96
92,96
53,54
87,82
93,98
86,87
NaN,71
78,76
76,73
93,95
84,84
46,70
54,55
NaN,86
61,74
NaN,NaN
84,88
81,81
79,80
94,95
56,65
92,93
94,96
76,82
81,75
84,78
82,86
92,93
72,73
78,77
80,85
60,72
89,88
72,86
74,74
57,55
93,89
NaN,82
83,89
87,82
NaN,95
61,64
94,84
60,69
73,83
85,84
79,80
50,59
81,87
73,77
88,84
50,45
77,73
85,93
62,71
73,77
75,68
100,97
89,96
93,88
56,74
NaN,81
86,95
74,73
83,83
80,73
84,85
79,88
82,82
82,NaN
58,64
94,94
78,83
64,78
71,86
65,52
75,74
62,74
75,89
83,88
93,94
70,74
66,81
70,89
NaN,59
76,73
90,86
86,85
51,57
65,67
83,82
76,80
70,69
NaN,77
NaN,NaN
92,96
84,87
79,82
93,95
93,90
83,71
92,NaN
92,92
93,96
80,81
88,89
94,92
93,91
84,75
95,96
80,86
NaN,NaN
76,77
77,90
60,70
93,94
71,85
82,85
71,71
75,77
42,62
NaN,87
93,NaN
45,62
94,96
89,92
81,89
NaN,87
94,96
69,67
90,92
96,97
69,70
79,80
78,87
62,69
90,96
86,85
89,80
66,63
93,89
52,77
97,97
63,57
79,87
NaN,78
78,85
61,79
95,97
74,78
79,84
94,95
92,85
76,85
67,80
66,68
81,83
82,81
98,98
91,93
66,70
86,89
74,76
NaN,100
82,87
NaN,94
48,54
89,87
70,76
86,76
86,82
89,89
96,96
68,75
97,97
85,85
96,93
77,77
75,88
NaN,46
88,88
94,95
74,86
NaN,90
70,66
76,81
94,94
96,96
82,90
83,89
58,77
83,81
93,95
82,71
78,88
NaN,54
NaN,94
57,54
92,95
82,82
81,91
NaN,79
93,96
88,90
32,27
56,56
97,97
92,96
91,84
93,95
66,75
95,93
73,51
86,84
67,78
85,88
87,93
61,70
81,87
80,83
NaN,97
92,92
74,87
NaN,90
90,95
71,70
93,94
88,87
75,93
NaN,NaN
78,78
97,98
82,75
94,96
94,95
75,83
63,80
NaN,82
68,71
86,94
72,74
80,76
94,96
82,90
71,69
NaN,76
92,92
69,64
NaN,NaN
73,69
72,74
57,75
NaN,NaN
91,92
70,87
87,81
90,80
77,75
66,59
81,83
95,96
NaN,75
88,90
NaN,NaN
84,86
79,81
96,97
61,79
96,97
94,96
73,69
74,85
80,76
NaN,74
78,89
86,68
90,86
NaN,96
NaN,NaN
90,94
88,94
91,93
68,78
NaN,87
84,93
64,78
76,76
92,92
64,80
68,57
86,91
76,77
91,92
66,67
76,67
79,85
NaN,72
66,64
85,83
70,70
72,80
78,70
83,91
65,73
96,97
NaN,83
79,91
67,81
88,96
87,90
82,81
78,91
73,85
68,76
86,86
91,94
62,70
93,96
51,82
76,83
69,69
59,82
81,87
53,68
100,96
77,78
57,71
27,37
97,97
76,74
NaN,81
NaN,85
NaN,66
84,93
78,81
NaN,80
NaN,93
80,79
77,75
73,79
85,88
66,84
87,84
69,83
75,79
NaN,86
100,97
56,71
66,66
93,93
60,67
78,85
88,79
91,89
73,66
86,88
NaN,86
NaN,73
96,97
90,93
NaN,71
87,90
60,72
41,45
95,95
79,86
96,98
NaN,79
96,95
76,79
NaN,68
93,98
NaN,98
89,89
NaN,88
81,95
NaN,100
98,95
76,74
NaN,55
NaN,83
NaN,63
91,91
